id,ita-IT,ger-DE,eng-GB
db8b2359219cee824c09b2cd6e77b439,"06.6.1 - Abitazioni e assetto territoriale non altrove classificati",,
7305cf240129250806b8dcf781f61198,"07.1.1 - Prodotti farmaceutici",,
65f70beb046fb89584d2bd7e6fdecd99,"07.1.2 - Altri prodotti sanitari",,
bdab4763736bcba4cfd8252fe4e830c1,"07.1.3 - Apparecchi e attrezzature terapeutiche",,
5632d3e98f98e911b858cd94aa4c44bd,"07.2.1 - Servizi medici generici",,
556defdac1c9717f3e73fbb2163df7f3,"07.2.2 - Servizi medici specialistici",,
4da2ba2dba73518d859a35b2643e3757,"07.2.3 - Servizi odontoiatrici",,
443c5c4ff2fbe9f40dd238ac2a8fff69,"07.2.4 - Servizi paramedici",,
4e442dee6a51329a0324eb866401ea5f,"07.3.1 - Servizi ospedalieri generici",,
edd8f7976bdc1ef01b94c39a9e1fd11c,"07.3.2 - Servizi ospedalieri specialistici",,
6ab838182086fed740b297f86c4f2caa,"07.3.3 - Centri di servizi per la maternità e medici",,
3378d1ae380cdcf80d05707682ff1582,"07.3.4 - Case di cura e riabilitazione",,
16f2fbcbb9319d705bff5cd181d5f0d0,"07.4.1 - Servizi di sanità pubblica",,
1caa340de6a1913cbb537cd8d0fabf44,"07.5.1 - Ricerca & Sviluppo per la sanità",,
f1b1a05ae662da9136a56726706c8cd2,"07.6.1 - Sanità non altrove classificata",,
712425596288f5f175fa56b7a6f8280f,"08.1.1 - Attività ricreative",,
660667d18fabd86fdcded6dd33cd3be7,"08.2.1 - Attività culturali",,
e6ce70fc76d55b1924c651a0173e884a,"08.3.1 - Servizi radiotelevisivi e di editoria",,
9f102bd4e296bbcb1f1ae017c450ebec,"08.4.1 - Servizi di culto e altri servizi per le comunità",,
bc355fe49347e50e4266650e53a81b6f,"08.5.1 - Ricerca & Sviluppo per attività ricreative; culturali e di culto",,
69cbc3481c1ddb1ecb451227a6ff77bc,"08.6.1 - Attività ricreative; culturali e di culto non altrove classificate",,
ff738debcb4d3d1c86ac7a2a7fd50826,"09.1.1 - Istruzione prescolastica",,
