id,ita-IT,ger-DE,eng-GB
aecb8703d4667ed332bd69dfe7a4a77d,"Costituzione, diritto, legalità",,
943b967708bb63da01c7bae41a2da59c,"Dati e statistiche",,
61642b98a8db06a53d54adbfd619be3b,Dematerializzazione,,
8d81e8aac91ad14942e070bed6357b96,"Didattica della Shoah",,
7850cf81047bf44e49193379c69f1a48,"Didattica e ricerca",,
6ec2a8ffd3a14ed2fa844472ca19eecd,"Direttori tecnici di agenzia di viaggio",,
0727dd176322f20440ce8dbe3b291bc8,Dirigente,,
a3c1c3b8f9625746b4d635951fc52c64,"Diritti dell'infanzia",,
be7f5a8f30c81cb8931d07ecc1a9c9b1,"Distribuzione gas",,
9827a8021b4e60fd479ad2f03a5cd216,Edilizia,,
2ebe24539edaca40f32f6920cf4ba940,"Edilizia scolastica",,
77ba97cab3879b2a35c7c235e1dfc4db,"Educazione alla salute",,
9a1cadbd9b3dbd6c54624162ecdb5168,"Educazione civica e alla cittadinanza",,
5c574900cbe808201ca47758f140e7a6,"Educazione degli adulti (EDA)",,
ede2fa552cc35b2952b3cef936b0537d,"Educazione di genere",,
caeeb9101c551d558a0681311edf5303,"Educazione motoria scuola primaria",,
71a4ffa25b7008a70b5923ea62ab75fb,"Elenchi CLIL",,
8575b1ba39518fd9f7dca5ffb690b1f1,"Elenco nominati in ruolo",,
888c6925b142960112190c58a2b43f84,Elettrodotti,,
6418f7866f95b83a532d01dea380cf3d,"Energia elettrica",,
99cf501a44d9e8fad071a70069de5b19,"Energia rinnovabile",,
935b22a57f4b7c6b5f634e1fb1c47214,"Entrate non tributarie",,
7e8db96e7480d397b9ce5dd007aaa0b4,"Entrate tributarie",,
25b75e78f396c76771c6e7cbe4d10a55,Equipollenza,,
bab1964705a46e53f89084809eee8faa,Equivalenza,,
33ab4ca5ea3a2909e0fd9b702cd5863f,"Esami conclusivi dei cicli di studio",,
eaf0b4cca31a767ca57514bc72a2c14d,"Esami di Alta Formazione professionale",,
23d50f438c69dc63cb1988f3bb82fb9d,"Esami di Stato primo ciclo",,
56a0f2a9151da0515dec67d5197f8316,"Esami di Stato secondo ciclo",,
f8f8b241bf137673cc98370981fc35d6,"Esami di diploma nella formazione professionale",,
10d2e672606536c590eb990ad25ebd14,"Esami di qualifica nella formazione professionale",,
a3a913c72b3792cab27976539a4f98a0,"Esperienze di scambio",,
