id,ita-IT,ger-DE,eng-GB
ad45c0cb1ae4f77113f1a49f31feb6e7,Giubileo,Jubiläum,Jubilee
42c566e0ed8ab2d53c774e797eb1b536,"Lettura religiosa","Religiöse Lesung","Religious reading"
aa3728c2ede4bb212e72770aa8c28f00,Processione,Prozession,Procession
3ce34947431acf524c6942812178349c,"Raduno religioso","Religiöse Versammlung","Religious Gathering"
bb5817808b72e4a9f873d6a47d6441c8,Santificazione,Heiligsprechung,Sanctification
5b3cb700749dbe2d58c2f55079432bc9,"Udienza giubilare",Jubiläums-Audienz,"Jubilee hearing"
b73fe93fca193496934be4abb5ed120d,"Incontro con esperti","Treffen mit Experten","Partner meeting"
82c2bfaa10b7b97de31b5e5198cbd44d,"Hackathon / Datathon","Hackathon / Datathon","Hackathon / Datathon"
6c782ba0df4999faea8166e8505a41b3,"Riunione esperti","Experten- / Interessenvertreter-Treffen","Experts / stakeholdesr meeting"
478b5b156815c44b583b3c53fdced125,"Raduno di comunità",Gemeinschaftsversammlung,"Community gathering"
e8cd330be8613bdd6a69fdd88ecacd49,Commemorazione,Gedenkfeier,Commemoration
f56a17cd69153d360c7b3c205391071c,"Festa patronale / Festa dei santi","Patronatsfest / Allerheiligen","Patronal Feat / Saint Feast"
57a8ca45796d1bc59cebab9df878912f,"Marcato / Mercatino",Markt,"Market / Street market"
ae7523083fa954544734601b70f505aa,Sagra,Sagra/Volksfest,"Popular feast"
1d44cf994f38819bed141c1e442c5b49,Sfilata,Umzug,Parade
48ddd8d83d29c6310cfbb58ca5fb0b90,"Torneo storico / Palio","Historisches Turnier / Palio","Historical Tournament"
fdbabade9b6f9eeef3e0da95edf852d9,"Evento sportivo","Sportliche Veranstaltung","Sport event"
08e4d12aea446960ceeb76720aa473e5,"Manifestazione sportiva","Sportliche Veranstaltung","Sport show"
0decaceddba42898e493cbc5ceca98f5,Corsa,Rennen,Race
c6fd3ca2a890e20d6bfe177e40374072,Escursione,Ausflug,Excursion
6824435b3d769319b8ac00d4b37aee90,"Galà sportivo",Sport-Gala,"Sport gala"
93db6a44363c3dbb40f0054271304317,"Gara / Torneo / Competizione","Spiel / Turnier / Wettbewerb","Sport competition"
2646f06e4a1ff763690e38bd9d2ad96c,Partita,Match,Match
69f9bc409c048609dd580645321e2eb0,"Raduno sportivo",Sport-Treffen,"Sport gathering"
f27542daa469d54a69c0a3d376d4e482,"Riunione esperti / portatori interesse",,
